Name,Country,Location,Capacity,No.,Turbine,Turbine model(s),Project,Strike,Build,Capacity,Depth,km to,Owner
,,,(MW),,manufacturer(s),,commissioning year,price,cost,factor,range (m),shore,
Barrow,England,53°59′00″N 3°17′00″W,90,30,Vestas,V90-3.0 MW,Jul-06,,£123m,35.9%[1],15–20,7,Ørsted
Beatrice,Scotland,58°06′20″N 03°05′35″W,10,2,REpower,5M,Jul-07,,£35m,20%,45,23,"SSE, Talisman Energy"
Beatrice extension,Scotland,58°06′20″N 03°05′35″W,588,84,Siemens Gamesa,SWT-7.0-154,Jul-19,140,"£2,600m",,45,23,SSE Talisman Energy
Blyth Offshore Demonstrator,England,,41.5,5,Vestas,V164-8 MW,2017,,,,50-60,6.5,EDF Renewables
Burbo Bank,England,53°29′00″N 3°11′00″W,90,25,Siemens,SWT-3.6-107,Sep-07,,£90m,32–35%,0–6,7,Ørsted
Burbo Bank Extension,England,53°29′00″N 3°11′00″W,258,32,Vestas,V164 8.0 MW,Apr-17,,,,6–13,,Ørsted
Dudgeon,England,53°15′00″N 1°23′00″E,402,67,Siemens,SWT-6.0–154,Oct-17,,"£1,500m",48%,,,"Equinor, Statkraft"
East Anglia One,England,52°14′04″N 02°29′18″E,714,102,Siemens,SWT-7.0-154,2020,119.89,,,,43,
European Offshore Wind Deployment Centre,Scotland,57°13′0″N 1°59′0″W,93,11,Vestas,Vestas V164 8 MW,Sep-18,,,,32,3,European Offshore Wind Deployment Centre
Galloper,England,,353,56,Siemens,SWT-6.0-154,Mar-18,,,,27-36,27,RWE
Greater Gabbard,England,51°56′0″N 1°53′0″E,504,140,Siemens,SWT-3.6-107,Sep-12,,"£1,500m",42.2%[1],20–32,23,SSE Renewables
Gunfleet Sands 1 & 2,England,51°43′0″N 01°12′50″E,172,48,Siemens,SWT-3.6-107,Apr-10,,£300m,36.60%,2–15,7,Ørsted
Gunfleet Sands 3 – Demonstration Project,England,51°43′0″N 01°12′50″E,12,2,Siemens,SWT-6.0-120,Apr-13,,£51m,31.10%,5–12,8,Ørsted
Gwynt y Môr,Wales,53°27′00″N 03°35′00″W,576,160,Siemens,SWT-3.6-107,Jun-15,,">£2,000m",31.70%,20,17,"RWE Npower, Stadtwerke München, GIB, Siemens"
Hornsea One,England,53°53′06″N 01°47′28″E,1218,174,Siemens,SWT-7.0-154,2020,140,,,,,"Ørsted, Global Infrastructure Partners"
Hornsea Two,England,53°53′06″N 01°47′28″E,1386,165,Siemens,SG 8.0-167 DD,August 2022[19],57.5,,,25-30,120,"Ørsted, Global Infrastructure Partners"
Humber Gateway,England,53°38′38″N 0°17′35″E,219,73,Vestas,V112 3.0 MW,Jun-15,,£736m,41.10%,15,10,E.ON
Hywind Scotland,Scotland,57°29′0″N 1°21′0″W,30,5,Siemens,SWT-6.0-154,Oct-17,,NOK2 billion,54%,95–120,25,"Equinor, Masdar"
,,,,,,,,,(£152m),,,,
Kentish Flats,England,51°27′36″N 01°05′24″E,140,30,Vestas,V90-3.0 MW,Oct-05,,£121.5m,"31.3%,",3–5,10,Vattenfall
,,,,,,and V112-3.3MW,,,,42.9%[1],,,
Kincardine,Scotland,57°0′22″N 1°51′8″W,49.5,6,Vestas,V164-9.5 MW,Oct-21,,,,60–80,15,"Principle Power, Flotation Energy, Cobra Wind"
,,,,,,and V80-2 MW,,,,,,,
Lincs,England,53°11′0″N 0°29′0″E,270,75,Siemens,SWT-3.6-120,Sep-13,,"£1,000m",42%,10–15,8,"Centrica, Siemens, Ørsted"
London Array,England,51°38′38″N 1°33′13″E,630,175,Siemens,SWT-3.6-107,Apr-13,,"£1,800m",41.1%[1],0–25,20,"Ørsted, E.ON UK Renewables, Masdar"
Lynn and Inner Dowsing,England,53°07′39″N 0°26′10″E,194,54,Siemens,SWP-3.6-107,Mar-09,,£300m,34.90%,6–11,5,Centrica 50%
,,,,,,,,,,,,,TCW 50%
Methil,Scotland,56°09′46″N 03°00′32″W,7,1,Samsung,7 MW,Oct-13,,,,5,0.05,"Samsung, 2-B Energy"
Moray East,Scotland,58.1°N 2.8°W,950,100,Vestas,V164-9.5 MW,April 2022[27],57.5,,,25–30,120,Ocean Winds
Moray West,Scotland,58.1°N 3.1°W,882,60,Siemens,Gamesa SG 14-222 DD,Apr-25,37.35 & 54.23,"£2,500m",,35–54,22.5,Ocean Wind
Neart Na Gaoithe,Scotland,56°16′4″N 2°19′15″W,450,54,Siemens,Gamesa SG 8.0-167 DD,Jul-25,114.39,,,,20,EDF R / ESB
North Hoyle,Wales,53°26′00″N 3°24′00″W,60,30,Vestas,V80-2 MW,Dec-03,,£80m,31.50%,5–12,7,Greencoat UK Wind
Ormonde,England,54°06′00″N 3°24′00″W,150,30,REpower,5 MW,Aug-12,,£552m,39.5%[1],17–22,9.5,Vattenfall
Race Bank,England,53°16′30″N 0°50′30″E,580,91,Siemens,SWT-6.0-154,Feb-18,,,,,,Ørsted
Rampion,England,50°40′00″N 0°16′00″W,400,116,Vestas,V112-3.45 MW,Apr-18,,"£1,300m",,,13,E.ON
Rhyl Flats,Wales,53°22′00″N 3°39′00″W,90,25,Siemens,SWT-3.6-107,Dec-09,,£198m,32.9%[1],4–15,8,Npower (UK) (RWE)
Robin Rigg,Scotland,54°45′00″N 3°43′00″W,180,60,Vestas,V90-3.0 MW,Apr-10,,£396m,35.1%[1],0–12,11,E.ON
Scroby Sands,England,52°38′0″N 1°47′0″E,60,30,Vestas,V80-2 MW,Mar-04,,£75.5m,30.7%[1],0–8,2.5,E.ON
Seagreen Phase 1,Scotland,56°35.094′N 01°45.537′W,1400,114,Vestas,V164-10.0 MW,Oct-23,41.61,"£3,000m",,Up to 59,,"SSE Renewables, TotalEnergies"
Sheringham Shoal,England,53°07′0″N 1°08′0″E,317,88,Siemens,SWT-3.6-107,Sep-12,,"£1,100m",40.7%[1],12–24,17,Equinor 50%
,,,,,,,,,,,,,Statkraft 50%
Teesside,England,54°38′50″N 1°05′40″W,62,27,Siemens,SWT-2.3-93,Aug-13,,£200m,34.80%,7–15,1.5,EDF-EN
Thanet,England,51°26′0″N 1°38′0″E,300,100,Vestas,V90-3.0 MW,Sep-10,,£900m,32.80%,20–25,11,Vattenfall
Triton Knoll,England,53°30′00″N 0°48′0″E,857,90,Vestas,v164-9.5 MW,March 2022[51],74.75,,,,33,RWE
Walney,England,54°03′00″N 3°31′00″W,367,102,Siemens,SWT-3.6-107,Feb-10,,£630m,"40.5%,",19–30,14,"Ørsted, SSE, OPW"
,,,,,,,,,,43.8%[1],,,
Walney Extension,England,54°5′17″N 3°44′17″W,659,87,Siemens,SWT-7.0-154,Sep-18,150,,,,,Ørsted
,,,,,Vestas,MHI V164-8.25,,,,,,,
Westermost Rough,England,53°48′18″N 0°8′56″E,210,35,Siemens,SWT-6.0-154,May-15,,£370m,42.9%[1],15,10,"Ørsted, Marubeni, GIB"
West of Duddon Sands,England,53°59′00″N 3°28′00″W,389,108,Siemens,SWT-3.6-120,Oct-14,,"£1,600m",44.2%[1],17–24,15,"Ørsted, Scottish Power"
