Site code,Site name,Site status,Country,CP2 Region,Feature type (broad),Feature type (specific),Feature code,Marine features protected,Common name,Population type
UK0030387,Anton Dohrn Seamount,SAC,Scotland offshore,Atlantic North-West Approaches,habitat,Annex I habitat,1170,Reefs,,
UK0030368,Bassurelle Sandbank,SAC,England offshore,Eastern Channel,habitat,Annex I habitat,1110,Sandbanks which are slightly covered by sea water all the time,,
UK0030357,Braemar Pockmarks,SAC,Scotland offshore,Northern North Sea,habitat,Annex I habitat,1180,Submarine structures made by leaking gases,,
UK0030396,Bristol Channel Approaches / Dynesfeydd Môr Hafren,SAC,England inshore & England offshore & Wales inshore & Wales offshore,Western Channel and Celtic Sea,species,Annex II species,1351,Phocoena phocoena,Harbour porpoise,
UKMCZ0076,Cape Bank,MCZ - Secretary of State,England inshore & England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A4.2,Moderate energy circalittoral rock,,
UKMCZ0076,Cape Bank,MCZ - Secretary of State,England inshore & England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A5.1,Subtidal coarse sediment,,
UKNCMPA020,Central Fladen,NCMPA,Scotland offshore,Northern North Sea,habitat,Habitat,,Burrowed mud,,
UKNCMPA020,Central Fladen,NCMPA,Scotland offshore,Northern North Sea,geology,Geodiversity,,Quaternary of Scotland: Sub-glacial tunnel valley,,
UK0030381,Croker Carbonate Slabs,SAC,Wales offshore,Irish Sea,habitat,Annex I habitat,1180,Submarine structures made by leaking gases,,
UK0030317,Darwin Mounds,SAC,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,habitat,Annex I habitat,1170,Reefs,,
UK0030352,Dogger Bank,SAC,England offshore,Southern North Sea,habitat,Annex I habitat,1110,Sandbanks which are slightly covered by sea water all the time,,
UKNCMPA021,East of Gannet and Montrose Fields,NCMPA,Scotland offshore,Northern North Sea,habitat,Habitat,,Offshore deep sea muds,,
UKNCMPA021,East of Gannet and Montrose Fields,NCMPA,Scotland offshore,Northern North Sea,species,Low or limited mobility species,,Arctica islandica,Ocean quahog,
UKMCZ0023,East of Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A4.2,Moderate energy circalittoral rock,,
UKMCZ0023,East of Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat mosaic,A5.1/A5.4,Subtidal coarse sediment and subtidal mixed sediments mosaic,,
UKMCZ0023,East of Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A5.2,Subtidal sand,,
UKMCZ0023,East of Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A5.3,Subtidal mud,,
UKMCZ0023,East of Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,species,FOCI species,SOCI_5,Atrina fragilis,Fan mussel,
UKMCZ0023,East of Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A4.1,High energy circalittoral rock,,
UKMCZ0023,East of Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,FOCI habitat,HOCI_18,Sea-pen and burrowing megafauna communities,,
UKMCZ0077,East of Start Point,MCZ - Secretary of State,England inshore & England offshore,Eastern Channel,habitat,Broad-scale habitat,A5.2,Subtidal sand,,
UK0030389,East Rockall Bank,SAC,Scotland offshore,Atlantic North-West Approaches,habitat,Annex I habitat,1170,Reefs,,
UKMCZ0043,Farnes East,MCZ - Secretary of State,England inshore & England offshore,Northern North Sea,habitat,Broad-scale habitat,A4.2,Moderate energy circalittoral rock,,
UKMCZ0043,Farnes East,MCZ - Secretary of State,England inshore & England offshore,Northern North Sea,habitat,Broad-scale habitat,A5.1,Subtidal coarse sediment,,
UKMCZ0043,Farnes East,MCZ - Secretary of State,England inshore & England offshore,Northern North Sea,habitat,Broad-scale habitat,A5.2,Subtidal sand,,
UKMCZ0043,Farnes East,MCZ - Secretary of State,England inshore & England offshore,Northern North Sea,habitat,Broad-scale habitat,A5.3,Subtidal mud,,
UKMCZ0043,Farnes East,MCZ - Secretary of State,England inshore & England offshore,Northern North Sea,habitat,Broad-scale habitat,A5.4,Subtidal mixed sediments,,
UKMCZ0043,Farnes East,MCZ - Secretary of State,England inshore & England offshore,Northern North Sea,habitat,FOCI habitat,HOCI_18,Sea-pen and burrowing megafauna communities,,
UKMCZ0043,Farnes East,MCZ - Secretary of State,England inshore & England offshore,Northern North Sea,species,FOCI species,SOCI_3,Arctica islandica,Ocean quahog,
UKNCMPA022,Faroe-Shetland Sponge Belt,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,habitat,Habitat,,Deep sea sponge aggregations,,
UKNCMPA022,Faroe-Shetland Sponge Belt,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,habitat,Habitat,,Offshore subtidal sands and gravels,,
UKNCMPA022,Faroe-Shetland Sponge Belt,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,habitat,Large-scale feature,,Continental slope,,
UKNCMPA022,Faroe-Shetland Sponge Belt,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,species,Low or limited mobility species,,Arctica islandica,Ocean quahog,
UKNCMPA022,Faroe-Shetland Sponge Belt,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,geology,Geodiversity,,Marine Geomorphology of the Scottish Deep Ocean Seabed: Sand wave fields,,
UKNCMPA022,Faroe-Shetland Sponge Belt,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,geology,Geodiversity,,Marine Geomorphology of the Scottish Deep Ocean Seabed: Sediment wave fields,,
UKNCMPA022,Faroe-Shetland Sponge Belt,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,geology,Geodiversity,,Quaternary of Scotland: Continental slope channels,,
UKNCMPA022,Faroe-Shetland Sponge Belt,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,geology,Geodiversity,,Quaternary of Scotland: Iceberg ploughmark fields,,
UKNCMPA022,Faroe-Shetland Sponge Belt,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,geology,Geodiversity,,Quaternary of Scotland: Prograding wedges,,
UKNCMPA022,Faroe-Shetland Sponge Belt,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,geology,Geodiversity,,Submarine Mass Movement: Slide deposits,,
UKNCMPA018,Firth of Forth Banks Complex,NCMPA,Scotland inshore & Scotland offshore,Northern North Sea,habitat,Habitat,,Offshore subtidal sands and gravels,,
UKNCMPA018,Firth of Forth Banks Complex,NCMPA,Scotland inshore & Scotland offshore,Northern North Sea,habitat,Large-scale feature,,Shelf banks and mounds,,
UKNCMPA018,Firth of Forth Banks Complex,NCMPA,Scotland inshore & Scotland offshore,Northern North Sea,species,Low or limited mobility species,,Arctica islandica,Ocean quahog,
UKNCMPA018,Firth of Forth Banks Complex,NCMPA,Scotland inshore & Scotland offshore,Northern North Sea,geology,Geodiversity,,Quaternary of Scotland: Moraines,,
UKMCZ0046,Fulmar,MCZ - Secretary of State,England offshore,Northern North Sea,habitat,Broad-scale habitat,A5.3,Subtidal mud,,
UKMCZ0046,Fulmar,MCZ - Secretary of State,England offshore,Northern North Sea,habitat,Broad-scale habitat,A5.4,Subtidal mixed sediments,,
UKMCZ0046,Fulmar,MCZ - Secretary of State,England offshore,Northern North Sea,species,FOCI species,SOCI_3,Arctica islandica,Ocean quahog,
UKMCZ0046,Fulmar,MCZ - Secretary of State,England offshore,Northern North Sea,habitat,Broad-scale habitat,A5.2,Subtidal sand,,
UKNCMPA023,Geikie Slide and Hebridean Slope,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,habitat,Habitat,,Burrowed mud,,
UKNCMPA023,Geikie Slide and Hebridean Slope,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,habitat,Habitat,,Offshore deep sea muds,,
UKNCMPA023,Geikie Slide and Hebridean Slope,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,habitat,Habitat,,Offshore subtidal sands and gravels,,
UKNCMPA023,Geikie Slide and Hebridean Slope,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,habitat,Large-scale feature,,Continental slope,,
UKNCMPA023,Geikie Slide and Hebridean Slope,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,geology,Geodiversity,,Submarine Mass Movement: Slide deposits,,
UKNCMPA023,Geikie Slide and Hebridean Slope,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,geology,Geodiversity,,Submarine Mass Movement: Slide scars,,
UKMCZ0047,Greater Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,geology,Geological or geomorphological feature of interest,G9,Haig Fras rock complex,,
UKMCZ0047,Greater Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A5.2,Subtidal sand,,
UKMCZ0047,Greater Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A5.3,Subtidal mud,,
UKMCZ0047,Greater Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A5.4,Subtidal mixed sediments,,
UKMCZ0047,Greater Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,FOCI habitat,HOCI_18,Sea-pen and burrowing megafauna communities,,
UKMCZ0047,Greater Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A5.1,Subtidal coarse sediment,,
UK9020329,Greater Wash,SPA,England inshore & England offshore,Southern North Sea,species,Annex I (species),,Gavia stellata,Red-throated diver,wintering
UK9020329,Greater Wash,SPA,England inshore & England offshore,Southern North Sea,species,Annex I (species),,Larus minutus,Little gull,wintering
UK9020329,Greater Wash,SPA,England inshore & England offshore,Southern North Sea,species,Annex I (species),,Sterna albifrons,Little tern,reproducing
UK9020329,Greater Wash,SPA,England inshore & England offshore,Southern North Sea,species,Annex I (species),,Sterna hirundo,Common tern,reproducing
UK9020329,Greater Wash,SPA,England inshore & England offshore,Southern North Sea,species,Annex I (species),,Sterna sandvicensis,Sandwich tern,reproducing
UK9020329,Greater Wash,SPA,England inshore & England offshore,Southern North Sea,species,Regularly occurring migratory species,,Melanitta nigra,Black (common) scoter,wintering
UK0030353,Haig Fras,SAC,England offshore,Western Channel and Celtic Sea,habitat,Annex I habitat,1170,Reefs,,
UK0030369,"Haisborough, Hammond and Winterton",SAC,England inshore & England offshore,Southern North Sea,habitat,Annex I habitat,1110,Sandbanks which are slightly covered by sea water all the time,,
UK0030369,"Haisborough, Hammond and Winterton",SAC,England inshore & England offshore,Southern North Sea,habitat,Annex I habitat,1170,Reefs,,
UK0030388,Hatton Bank,cSAC,Scotland offshore,Atlantic North-West Approaches,habitat,Annex I habitat,1170,Reefs,,
UKNCMPA024,Hatton-Rockall Basin,NCMPA,Scotland offshore,Atlantic North-West Approaches,habitat,Habitat,,Deep sea sponge aggregations,,
UKNCMPA024,Hatton-Rockall Basin,NCMPA,Scotland offshore,Atlantic North-West Approaches,habitat,Habitat,,Offshore deep sea muds,,
UKNCMPA024,Hatton-Rockall Basin,NCMPA,Scotland offshore,Atlantic North-West Approaches,geology,Geodiversity,,Marine Geomorphology of the Scottish Deep Ocean Seabed: Polygonal faults,,
UKNCMPA024,Hatton-Rockall Basin,NCMPA,Scotland offshore,Atlantic North-West Approaches,geology,Geodiversity,,Marine Geomorphology of the Scottish Deep Ocean Seabed: Sediment drifts,,
UKMCZ0078,Holderness Offshore,MCZ - Secretary of State,England inshore & England offshore,Southern North Sea,species,FOCI species,SOCI_3,Arctica islandica,Ocean quahog,
UKMCZ0078,Holderness Offshore,MCZ - Secretary of State,England inshore & England offshore,Southern North Sea,habitat,Broad-scale habitat,A5.1,Subtidal coarse sediment,,
UKMCZ0078,Holderness Offshore,MCZ - Secretary of State,England inshore & England offshore,Southern North Sea,habitat,Broad-scale habitat,A5.4,Subtidal mixed sediments,,
UKMCZ0078,Holderness Offshore,MCZ - Secretary of State,England inshore & England offshore,Southern North Sea,habitat,Broad-scale habitat,A5.2,Subtidal sand,,
UKMCZ0078,Holderness Offshore,MCZ - Secretary of State,England inshore & England offshore,Southern North Sea,geology,Geological or geomorphological feature of interest,G15,North Sea glacial tunnel valleys,,
UKMCZ0079,Inner Bank,MCZ - Secretary of State,England inshore & England offshore,Eastern Channel,habitat,Broad-scale habitat,A5.1,Subtidal coarse sediment,,
UKMCZ0079,Inner Bank,MCZ - Secretary of State,England inshore & England offshore,Eastern Channel,habitat,Broad-scale habitat,A5.4,Subtidal mixed sediments,,
UKMCZ0079,Inner Bank,MCZ - Secretary of State,England inshore & England offshore,Eastern Channel,habitat,Broad-scale habitat,A5.2,Subtidal sand,,
UK0030370,"Inner Dowsing, Race Bank and North Ridge",SAC,England inshore & England offshore,Southern North Sea,habitat,Annex I habitat,1110,Sandbanks which are slightly covered by sea water all the time,,
UK0030370,"Inner Dowsing, Race Bank and North Ridge",SAC,England inshore & England offshore,Southern North Sea,habitat,Annex I habitat,1170,Reefs,,
UK9020328,Irish Sea Front,SPA,Wales offshore,Irish Sea,species,Regularly occurring migratory species,,Puffinus puffinus,Manx shearwater,reproducing
UKMCZ0080,Kentish Knock East,MCZ - Secretary of State,England inshore & England offshore,Southern North Sea,habitat,Broad-scale habitat,A5.1,Subtidal coarse sediment,,
UKMCZ0080,Kentish Knock East,MCZ - Secretary of State,England inshore & England offshore,Southern North Sea,habitat,Broad-scale habitat,A5.4,Subtidal mixed sediments,,
UKMCZ0080,Kentish Knock East,MCZ - Secretary of State,England inshore & England offshore,Southern North Sea,habitat,Broad-scale habitat,A5.2,Subtidal sand,,
UK9020294,Liverpool Bay / Bae Lerpwl,SPA,England inshore & England offshore & Wales inshore,Irish Sea,assemblage,Regularly occurring migratory species,,Waterbird assemblage,Waterbird assemblage,
UK9020294,Liverpool Bay / Bae Lerpwl,SPA,England inshore & England offshore & Wales inshore,Irish Sea,species,Annex I (species),,Gavia stellata,Red-throated diver,wintering
UK9020294,Liverpool Bay / Bae Lerpwl,SPA,England inshore & England offshore & Wales inshore,Irish Sea,species,Annex I (species),,Larus minutus,Little gull,wintering
UK9020294,Liverpool Bay / Bae Lerpwl,SPA,England inshore & England offshore & Wales inshore,Irish Sea,species,Annex I (species),,Sterna albifrons,Little tern,reproducing
UK9020294,Liverpool Bay / Bae Lerpwl,SPA,England inshore & England offshore & Wales inshore,Irish Sea,species,Annex I (species),,Sterna hirundo,Common tern,reproducing
UK9020294,Liverpool Bay / Bae Lerpwl,SPA,England inshore & England offshore & Wales inshore,Irish Sea,species,Regularly occurring migratory species,,Melanitta nigra,Black (common) scoter,wintering
UKMCZ0084,Markham’s Triangle,MCZ - Secretary of State,England offshore,Southern North Sea,habitat,Broad-scale habitat,A5.1,Subtidal coarse sediment,,
UKMCZ0084,Markham’s Triangle,MCZ - Secretary of State,England offshore,Southern North Sea,habitat,Broad-scale habitat,A5.4,Subtidal mixed sediments,,
UKMCZ0084,Markham’s Triangle,MCZ - Secretary of State,England offshore,Southern North Sea,habitat,Broad-scale habitat,A5.3,Subtidal mud,,
UKMCZ0084,Markham’s Triangle,MCZ - Secretary of State,England offshore,Southern North Sea,habitat,Broad-scale habitat,A5.2,Subtidal sand,,
UK0030398,North Anglesey Marine / Gogledd Môn Forol,SAC,Northern Ireland offshore & Wales inshore & Wales offshore,Irish Sea,species,Annex II species,1351,Phocoena phocoena,Harbour porpoise,
UK0030399,North Channel,SAC,Northern Ireland inshore & Northern Ireland offshore,Irish Sea,species,Annex II species,1351,Phocoena phocoena,Harbour porpoise,
UKMCZ0024,North East of Farnes Deep,MCZ - Secretary of State,England offshore,Northern North Sea,habitat,Broad-scale habitat,A5.1,Subtidal coarse sediment,,
UKMCZ0024,North East of Farnes Deep,MCZ - Secretary of State,England offshore,Northern North Sea,habitat,Broad-scale habitat,A5.2,Subtidal sand,,
UKMCZ0024,North East of Farnes Deep,MCZ - Secretary of State,England offshore,Northern North Sea,habitat,Broad-scale habitat,A5.3,Subtidal mud,,
UKMCZ0024,North East of Farnes Deep,MCZ - Secretary of State,England offshore,Northern North Sea,habitat,Broad-scale habitat,A5.4,Subtidal mixed sediments,,
UKMCZ0024,North East of Farnes Deep,MCZ - Secretary of State,England offshore,Northern North Sea,species,FOCI species,SOCI_3,Arctica islandica,Ocean quahog,
UK0030358,North Norfolk Sandbanks and Saturn Reef,SAC,England offshore,Southern North Sea,habitat,Annex I habitat,1110,Sandbanks which are slightly covered by sea water all the time,,
UK0030358,North Norfolk Sandbanks and Saturn Reef,SAC,England offshore,Southern North Sea,habitat,Annex I habitat,1170,Reefs,,
UK0030363,North West Rockall Bank,SAC,Scotland offshore,Atlantic North-West Approaches,habitat,Annex I habitat,1170,Reefs,,
UKNCMPA025,North-east Faroe-Shetland Channel,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,geology,Geodiversity,,Cenozoic Structures of the Atlantic Margin: Mud diapirs,,
UKNCMPA025,North-east Faroe-Shetland Channel,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,geology,Geodiversity,,Marine Geomorphology of the Scottish Deep Ocean Seabed: Contourite sand/silt,,
UKNCMPA025,North-east Faroe-Shetland Channel,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,habitat,Habitat,,Deep sea sponge aggregations,,
UKNCMPA025,North-east Faroe-Shetland Channel,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,habitat,Habitat,,Offshore deep sea muds,,
UKNCMPA025,North-east Faroe-Shetland Channel,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,habitat,Habitat,,Offshore subtidal sands and gravels,,
UKNCMPA025,North-east Faroe-Shetland Channel,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,habitat,Large-scale feature,,Continental slope,,
UKNCMPA025,North-east Faroe-Shetland Channel,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,geology,Geodiversity,,Quaternary of Scotland: Prograding wedges,,
UKNCMPA025,North-east Faroe-Shetland Channel,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,geology,Geodiversity,,Submarine Mass Movement: Slide deposits,,
UKMCZ0085,North-East of Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A5.1,Subtidal coarse sediment,,
UKMCZ0085,North-East of Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A5.3,Subtidal mud,,
UKMCZ0085,North-East of Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A5.2,Subtidal sand,,
UKMCZ0048,North-West of Jones Bank,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A5.1,Subtidal coarse sediment,,
UKMCZ0048,North-West of Jones Bank,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A5.2,Subtidal sand,,
UKMCZ0048,North-West of Jones Bank,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A5.3,Subtidal mud,,
UKMCZ0048,North-West of Jones Bank,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A5.4,Subtidal mixed sediments,,
UKMCZ0048,North-West of Jones Bank,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,FOCI habitat,HOCI_18,Sea-pen and burrowing megafauna communities,,
UKNCMPA019,North-west Orkney,NCMPA,Scotland inshore & Scotland offshore,Scottish Continental Shelf,species,Mobile species,,Ammodytes spp.,Sandeels,
UKNCMPA019,North-west Orkney,NCMPA,Scotland inshore & Scotland offshore,Scottish Continental Shelf,geology,Geodiversity,,Marine Geomorphology of the Scottish Shelf Seabed: Sand bank,,
UKNCMPA019,North-west Orkney,NCMPA,Scotland inshore & Scotland offshore,Scottish Continental Shelf,geology,Geodiversity,,Marine Geomorphology of the Scottish Shelf Seabed: Sand wave fields,,
UKNCMPA019,North-west Orkney,NCMPA,Scotland inshore & Scotland offshore,Scottish Continental Shelf,geology,Geodiversity,,Marine Geomorphology of the Scottish Shelf Seabed: Sediment wave fields,,
UKNCMPA026,Norwegian Boundary Sediment Plain,NCMPA,Scotland offshore,Northern North Sea,species,Low or limited mobility species,,Arctica islandica,Ocean quahog,
UKMCZ0049,Offshore Brighton,MCZ - Secretary of State,England offshore,Eastern Channel,habitat,Broad-scale habitat,A4.1,High energy circalittoral rock,,
UKMCZ0049,Offshore Brighton,MCZ - Secretary of State,England offshore,Eastern Channel,habitat,Broad-scale habitat,A5.1,Subtidal coarse sediment,,
UKMCZ0049,Offshore Brighton,MCZ - Secretary of State,England offshore,Eastern Channel,habitat,Broad-scale habitat,A5.4,Subtidal mixed sediments,,
UKMCZ0044,Offshore Overfalls,MCZ - Secretary of State,England inshore & England offshore,Eastern Channel,geology,Geological or geomorphological feature of interest,G1,English Channel Outburst Flood Features (Quaternary fluvio-glacial erosion features),,
UKMCZ0044,Offshore Overfalls,MCZ - Secretary of State,England inshore & England offshore,Eastern Channel,habitat,Broad-scale habitat,A5.1,Subtidal coarse sediment,,
UKMCZ0044,Offshore Overfalls,MCZ - Secretary of State,England inshore & England offshore,Eastern Channel,habitat,Broad-scale habitat,A5.2,Subtidal sand,,
UKMCZ0044,Offshore Overfalls,MCZ - Secretary of State,England inshore & England offshore,Eastern Channel,habitat,Broad-scale habitat,A5.4,Subtidal mixed sediments,,
UKMCZ0081,Orford Inshore,MCZ - Secretary of State,England inshore & England offshore,Southern North Sea,habitat,Broad-scale habitat,A5.4,Subtidal mixed sediments,,
UK9020316,Outer Firth of Forth and St Andrews Bay Complex,SPA,Scotland inshore & Scotland offshore,Northern North Sea,species,Annex I (species),,Sterna paradisaea,Arctic tern,reproducing
UK9020316,Outer Firth of Forth and St Andrews Bay Complex,SPA,Scotland inshore & Scotland offshore,Northern North Sea,species,Regularly occurring migratory species,,Fratercula arctica,Atlantic puffin,reproducing
UK9020316,Outer Firth of Forth and St Andrews Bay Complex,SPA,Scotland inshore & Scotland offshore,Northern North Sea,species,Regularly occurring migratory species,,Melanitta nigra,Black (common) scoter,wintering
UK9020316,Outer Firth of Forth and St Andrews Bay Complex,SPA,Scotland inshore & Scotland offshore,Northern North Sea,species,Regularly occurring migratory species,,Larus ridibundus,Black-headed gull,wintering
UK9020316,Outer Firth of Forth and St Andrews Bay Complex,SPA,Scotland inshore & Scotland offshore,Northern North Sea,species,Regularly occurring migratory species,,Rissa tridactyla,Black-legged kittiwake,wintering
UK9020316,Outer Firth of Forth and St Andrews Bay Complex,SPA,Scotland inshore & Scotland offshore,Northern North Sea,species,Regularly occurring migratory species,,Rissa tridactyla,Black-legged kittiwake,reproducing
UK9020316,Outer Firth of Forth and St Andrews Bay Complex,SPA,Scotland inshore & Scotland offshore,Northern North Sea,species,Regularly occurring migratory species,,Somateria mollissima,Common eider,wintering
UK9020316,Outer Firth of Forth and St Andrews Bay Complex,SPA,Scotland inshore & Scotland offshore,Northern North Sea,species,Regularly occurring migratory species,,Bucephala clangula,Common goldeneye,wintering
UK9020316,Outer Firth of Forth and St Andrews Bay Complex,SPA,Scotland inshore & Scotland offshore,Northern North Sea,species,Regularly occurring migratory species,,Uria aalge,Common guillemot,wintering
UK9020316,Outer Firth of Forth and St Andrews Bay Complex,SPA,Scotland inshore & Scotland offshore,Northern North Sea,species,Regularly occurring migratory species,,Uria aalge,Common guillemot,reproducing
UK9020316,Outer Firth of Forth and St Andrews Bay Complex,SPA,Scotland inshore & Scotland offshore,Northern North Sea,species,Regularly occurring migratory species,,Larus canus,Common gull,wintering
UK9020316,Outer Firth of Forth and St Andrews Bay Complex,SPA,Scotland inshore & Scotland offshore,Northern North Sea,species,Annex I (species),,Sterna hirundo,Common tern,reproducing
UK9020316,Outer Firth of Forth and St Andrews Bay Complex,SPA,Scotland inshore & Scotland offshore,Northern North Sea,species,Regularly occurring migratory species,,Phalacrocorax aristotelis,European shag,wintering
